sample_id,other_id,fastq_id_for_wgs,fastq_id_for_wgs_md5
,MDD0026,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0026/WGS/NV0027-01_S8_L001_R1_001,cd99a336da180d555ff7c549bbdd2cc1
,MDD0027,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0027/WGS/NV0027-02_S9_L001_R1_001,c456f03159b9e66fbff67011e3b02019
,MDD0032,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0032/WGS/NV0027-03_S10_L001_R1_001,f4c4eaad241526ed6f60850e4f45d37b
,MDD0033,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0033/WGS/NV0027-04_S11_L001_R1_001,a49e68606611e52e0b7b23b006faffe0
,MDD0037,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0037/WGS/NV0027-05_S12_L001_R1_001,1fe8438c0848595e7d07fd277f0290a8
,MDD0038,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0038/WGS/NV0027-06_S13_L001_R1_001,7b7ec561f6734486d51be58d1d68f946
,MDD0041,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0041/WGS/NV0027-07_S14_L001_R1_001,d07a858b3dd31077ae3145c51994336e
,MDD0044,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0044/WGS/NV0027-08_S15_L001_R1_001,4437945895b77ca082c105a7ac5d24b4
,MDD0046,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0046/WGS/NV0027-09_S16_L001_R1_001,e9a38f74b0ce403cd7df54195d402556
,MDD0047,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0047/WGS/NV0027-10_S17_L001_R1_001,b85cc941b9abf2ff0808ab5a379ebf17
,MDD0050,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0050/WGS/NV0027-11_S18_L001_R1_001,d1ab75031bb5e4f435f4b14eb1b7fb6b
,MDD0053,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0053/WGS/NV0027-12_S19_L001_R1_001,ff064d5f5336771f9e834a975436d2db
,MDD0054,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0054/WGS/NV0027-13_S20_L001_R1_001,63edcc67cf6176d5aa073a19e5d80651
,MDD0057,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0057/WGS/NV0027-14_S21_L001_R1_001,6cd18fdce9d9a61c1364a1bcb6f13ca3
,MDD0065,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0065/WGS/NV0035-01_S16_L001_R1_001,9a46937a2aea88dba34e3af49db0b2d8
,MDD0067,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0067/WGS/NV0035-02_S17_L001_R1_001,ca2af52b42628bebbb5c6d4ff486c071
,MDD0069,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0069/WGS/NV0035-03_S18_L001_R1_001,9acb8408ae52182806b6af1f449771ef
,MDD0070,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0070/WGS/NV0035-04_S19_L001_R1_001,2ec3093e6d6dc3e130a17f501b35c8e1
,MDD0083,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0083/WGS/NV0073-01_S20_L001_R1_001,868dc60c984e75193b8ba06b5cae04bb
,MDD0085,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0085/WGS/NV0073-03_S21_L001_R1_001,3d85162e25c0ce80fe66e25446c59307
,MDD0087,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0087/WGS/NV0073-05_S22_L001_R1_001,70cf59a3e5af2c71dfbb8e291b6a34eb
